iter	Passed	Remaining
0	3	3624
1	12	6454
2	16	5537
3	23	5878
4	28	5581
5	32	5415
6	58	8331
7	62	7765
8	69	7657
9	74	7404
10	79	7128
11	85	7048
12	89	6817
13	94	6622
14	100	6567
15	104	6445
16	109	6310
17	113	6180
18	118	6133
19	123	6057
20	130	6081
21	134	5985
22	139	5929
23	146	5951
24	151	5890
25	156	5850
26	162	5873
27	167	5821
28	176	5904
29	180	5849
30	185	5811
31	192	5815
32	197	5783
33	203	5790
34	208	5750
35	213	5725
36	218	5692
37	223	5670
38	228	5620
39	233	5600
40	239	5601
41	243	5558
42	248	5540
43	256	5580
44	261	5548
45	270	5617
46	274	5575
47	282	5593
48	287	5579
49	291	5539
50	298	5550
51	313	5711
52	317	5673
53	322	5648
54	327	5620
55	333	5627
56	342	5659
57	361	5869
58	365	5828
59	369	5796
60	375	5784
61	381	5776
62	388	5777
63	393	5749
64	398	5733
65	404	5728
66	408	5694
67	413	5665
68	417	5638
69	422	5615
70	426	5584
71	432	5573
72	440	5600
73	447	5595
74	455	5619
75	460	5597
76	467	5603
77	472	5588
78	479	5586
79	484	5567
80	489	5548
81	495	5541
82	499	5520
83	504	5502
84	509	5485
85	515	5475
86	519	5451
87	526	5452
88	529	5424
89	533	5397
90	540	5399
91	545	5383
92	549	5361
93	555	5355
94	560	5337
95	564	5313
96	569	5296
97	573	5275
98	576	5250
99	581	5231
100	586	5217
101	590	5198
102	594	5177
103	600	5170
104	605	5157
105	609	5138
106	613	5121
107	619	5115
108	623	5099
109	629	5090
110	634	5083
111	638	5065
112	644	5055
113	649	5045
114	653	5031
115	657	5013
116	661	4995
117	665	4977
118	672	4978
119	677	4970
120	681	4953
121	686	4937
122	691	4931
123	696	4917
124	700	4900
125	706	4897
126	710	4884
127	714	4870
128	719	4858
129	724	4851
130	729	4836
131	733	4826
132	739	4817
133	743	4807
134	748	4793
135	752	4778
136	756	4762
137	761	4754
138	765	4743
139	770	4731
140	775	4726
141	784	4738
142	789	4732
143	795	4726
144	803	4739
145	808	4729
146	815	4730
147	819	4718
148	823	4704
149	828	4694
150	833	4683
151	837	4670
152	841	4660
153	845	4647
154	849	4632
155	854	4622
156	859	4613
157	863	4601
158	867	4588
159	877	4604
160	881	4592
161	885	4579
162	893	4587
163	897	4574
164	902	4566
165	907	4557
166	911	4547
167	916	4537
168	922	4538
169	927	4529
170	932	4518
171	937	4511
172	941	4500
173	946	4494
174	953	4496
175	958	4485
176	962	4473
177	972	4489
178	976	4478
179	981	4471
180	988	4472
181	992	4461
182	1001	4469
183	1005	4461
184	1012	4459
185	1019	4460
186	1024	4452
187	1032	4458
188	1037	4451
189	1043	4450
190	1048	4440
191	1055	4443
192	1060	4436
193	1065	4427
194	1072	4426
195	1078	4423
196	1086	4426
197	1092	4426
198	1098	4421
199	1104	4418
200	1110	4415
201	1117	4414
202	1123	4410
203	1129	4405
204	1134	4399
205	1140	4397
206	1148	4400
207	1156	4404
208	1163	4401
209	1169	4398
210	1178	4405
211	1185	4407
212	1193	4411
213	1199	4406
214	1205	4401
215	1210	4393
216	1215	4384
217	1220	4377
218	1224	4368
219	1229	4358
220	1233	4347
221	1237	4336
222	1241	4326
223	1246	4316
224	1250	4307
225	1254	4297
226	1261	4296
227	1266	4287
228	1270	4279
229	1276	4272
230	1280	4262
231	1284	4252
232	1289	4245
233	1294	4236
234	1298	4227
235	1303	4220
236	1310	4219
237	1315	4211
238	1320	4203
239	1324	4193
240	1328	4183
241	1334	4179
242	1338	4170
243	1343	4162
244	1349	4159
245	1354	4152
246	1359	4144
247	1364	4137
248	1369	4130
249	1373	4121
250	1379	4116
251	1385	4113
252	1391	4107
253	1397	4104
254	1401	4094
255	1405	4085
256	1411	4080
257	1416	4072
258	1424	4075
259	1431	4073
260	1436	4067
261	1443	4065
262	1447	4057
263	1454	4053
264	1459	4047
265	1466	4046
266	1471	4040
267	1476	4033
268	1481	4024
269	1485	4016
270	1490	4009
271	1495	4001
272	1499	3993
273	1504	3986
274	1508	3977
275	1513	3970
276	1518	3963
277	1523	3955
278	1527	3946
279	1534	3946
280	1539	3938
281	1544	3931
282	1550	3927
283	1554	3919
284	1559	3912
